Lemma,Part of Speech Code,Full Citation Form,BDAG Entry,Danker Entry,Dodson Entry,Mounce Entry,Strongs,GK,Dodson Part of Speech Code,Gloss,Mounce MorphCat,root,verbs,Part of Speech
ἄβυσσος,N,"ἄβυσσος, ου, ἡ",ἄβυσσος,"ἄβυσσος, ου, ἡ","ἄβυσσος, ου, ἡ",ἄβυσσος,12,12,N:F,"the abyss, the unfathomable depth",n-2b,,,Noun
Ἅγαβος,N,"Ἅγαβος, ου, ὁ",Ἅγαβος,"Ἅγαβος, ου, ὁ","Ἀγαβος, ου, ὁ",Ἇγαβος,13,13,N:M,Agabus,n-2a,,,Noun
ἀγαθοεργέω,V,,ἀγαθοεργέω,ἀγαθοεργέω,ἀγαθοεργέω,ἀγαθοεργέω,14,14,V,I perform good deeds,cv-1d(2a),,,Verb
ἀγαθοποιέω,V,,ἀγαθοποιέω,ἀγαθοποιέω,ἀγαθοποιέω,ἀγαθοποιέω,15,16,V,I do that which is good,cv-1d(2a),,,Verb
ἀγαθοποιΐα,N,"ἀγαθοποιΐα, ας, ἡ",ἀγαθοποιΐα,"ἀγαθοποιΐα, ας, ἡ","ἀγαθοποιΐα, ας, ἡ",ἀγαθοποιΐα,16,17,N:F,the doing of that which is good,n-1a,,,Noun
ἀγαθοποιός,N/A,"ἀγαθοποιός, όν",ἀγαθοποιός,"ἀγαθοποιός, όν","ἀγαθοποιός, οῦ, ὁ",ἀγαθοποιός,17,18,A,a doer of that which is good,a-3a,,,Noun
ἀγαθός,A,"ἀγαθός, ή, όν",ἀγαθός,"ἀγαθός, ή, όν","ἀγαθός, ή, όν",ἀγαθός,18,19,A,good,a-1a(2a),,,Adjective
ἀγαθουργέω,V,,ἀγαθουργέω,ἀγαθοεργέω,ἀγαθοεργέω,ἀγαθοεργέω,14,14,V,I perform good deeds,cv-1d(2a),,,Verb
ἀγαθωσύνη,N,"ἀγαθωσύνη, ης, ἡ",ἀγαθωσύνη,"ἀγαθωσύνη, ης, ἡ","ἀγαθωσύνη, ης, ἡ",ἀγαθωσύνη,19,20,N:F,goodness,n-1b,,,Noun
ἀγαλλίασις,N,"ἀγαλλίασις, εως, ἡ",ἀγαλλίασις,"ἀγαλλίασις, εως, ἡ","ἀγαλλίασις, εως, ἡ",ἀγαλλίασις,20,21,N:F,"exultation, exhilaration",n-3e(5b),,,Noun
ἀγαλλιάω,V,,ἀγαλλιάω,ἀγαλλιάω,ἀγαλλιάω,ἀγαλλιάω,21,22,V,"I exult, am full of joy",v-1d(1b),,,Verb
ἄγαμος,N,"ἄγαμος, ου, ὁ/ἡ",ἄγαμος,"ἄγαμος, ου, ὁ /ἡ","ἄγαμος, οῦ, ὁ, ἡ",ἄγαμος,22,23,"N:F,N:M",unmarried,n-2a,,,Noun
ἀγανακτέω,V,,ἀγανακτέω,ἀγανακτέω,ἀγανακτέω,ἀγανακτέω,23,24,V,"I am angry, am incensed",v-1d(2a),,,Verb
ἀγανάκτησις,N,"ἀγανάκτησις, εως, ἡ",ἀγανάκτησις,"ἀγανάκτησις, εως, ἡ","ἀγανάκτησις, εως, ἡ",ἀγανάκτησις,24,25,N:F,indignation,n-3e(5b),,,Noun
ἀγαπάω,V,,ἀγαπάω,ἀγαπάω,ἀγαπάω,ἀγαπάω,25,26,V,I love,v-1d(1a),*ἀγαπα P1b,"ἀγαπήσω, ἠγάπησα, ἠγάπηκα, ἠγάπημαι ἠγαπήθην",Verb
ἀγάπη,N,"ἀγάπη, ης, ἡ",ἀγάπη,"ἀγάπη, ης, ἡ","ἀγάπη, ης, ἡ",ἀγάπη,26,27,N:F,love,n-1b,,,Noun
ἀγαπητός,A,"ἀγαπητός, ή, όν",ἀγαπητός,"ἀγαπητός, ή, όν","ἀγαπητός, ή, όν",ἀγαπητός,27,28,A,"loved, beloved",a-1a(2a),,,Adjective
Ἁγάρ,N,"Ἁγάρ, ἡ",Ἁγάρ,"Ἁγάρ, ἡ","Ἅγαρ, ἡ",Ἁγάρ,28,29,N-PRI,Hagar,n-3g(2),,,Noun
ἀγγαρεύω,V,,ἀγγαρεύω,ἀγγαρεύω,ἀγγαρεύω,ἀγγαρεύω,29,30,V,"I impress, send",v-1a(6),,,Verb
ἀγγεῖον,N,"ἀγγεῖον, ου, τό",ἀγγεῖον,"ἀγγεῖον, ου, τό","ἀγγεῖον, ου, τό",ἀγγεῖον,30,31,N:N,"a vessel, flask, can",n-2c,,,Noun
ἀγγελία,N,"ἀγγελία, ας, ἡ",ἀγγελία,"ἀγγελία, ας, ἡ","ἀγγελία, ας, ἡ",ἀγγελία,31,32,N:F,a message,n-1a,,,Noun
ἀγγέλλω,V,,ἀγγέλλω,ἀγγέλλω,,ἀγγέλλω,,33,,,v-2d(1),,,Verb
ἄγγελος,N,"ἄγγελος, ου, ὁ",ἄγγελος,"ἄγγελος, ου, ὁ","ἄγγελος, ου, ὁ",ἄγγελος,32,34,N:M,"an angel, messenger",n-2a,,,Noun
ἄγγος,N,"ἄγγος, ους, τό",ἄγγος,"ἄγγος, ους, τό",,ἄγγος,,35,,,n-3d(2b),,,Noun
ἄγε,V,,ἄγε,ἄγε,,,,,,,,,,
ἀγέλη,N,"ἀγέλη, ης, ἡ",ἀγέλη,"ἀγέλη, ης, ἡ","ἀγέλη, ης, ἡ",ἀγέλη,34,36,N:F,"a flock, herd",n-1b,,,Noun
ἀγενεαλόγητος,A,"ἀγενεαλόγητος, ον",ἀγενεαλόγητος,"ἀγενεαλόγητος, ον","ἀγενεαλόγητος, ον",ἀγενεαλόγητος,35,37,A,of unrecorded genealogy,a-3a,,,Adjective
ἀγενής,A,"ἀγενής, ές, gen. οῦς",ἀγενής,"ἀγενής, ές, gen. οῦς","ἀγενής, ές",ἀγενής,36,38,A,"without family, ignoble",a-4a,,,Adjective
ἁγιάζω,V,,ἁγιάζω,ἁγιάζω,ἁγιάζω,ἁγιάζω,37,39,V,"I make holy, sanctify",v-2a(1),*ἁγιάζ/*ἁγιοδ,"-, ἡγίασα, -, ἡγίασμαι, ἡγιάσθην",Verb
ἁγιασμός,N,"ἁγιασμός, οῦ, ὁ",ἁγιασμός,"ἁγιασμός, οῦ, ὁ","ἁγιασμός, οῦ, ὁ",ἁγιασμός,38,40,N:M,"sanctification, holiness",n-2a,,,Noun
ἅγιος,A,"ἅγιος, α, ον",ἅγιος,"ἅγιος, α, ον","ἅγιος, ία, ον",ἅγιος,40,41,A,"set apart, holy, sacred",a-1a(1),,,Adjective
ἁγιότης,N,"ἁγιότης, ητος, ἡ",ἁγιότης,"ἁγιότης, ητος, ἡ","ἁγιότης, ητος, ἡ",ἁγιότης,41,42,N:F,holiness,n-3c(1),,,Noun
ἁγιωσύνη,N,"ἁγιωσύνη, ης, ἡ",ἁγιωσύνη,"ἁγιωσύνη, ης, ἡ","ἁγιωσύνη, ης, ἡ",ἁγιωσύνη,42,43,N:F,a holy or sanctified state,n-1b,,,Noun
ἀγκάλη,N,"ἀγκάλη, ης, ἡ",ἀγκάλη,"ἀγκάλη, ης, ἡ","ἀγκάλη, ης, ἡ",ἀγκάλη,43,44,N:F,an arm,n-1b,,,Noun
ἄγκιστρον,N,"ἄγκιστρον, ου, τό",ἄγκιστρον,"ἄγκιστρον, ου, τό","ἄγκιστρον, ου, τό",ἄγκιστρον,44,45,N:N,a fish-hook,n-2c,,,Noun
ἄγκυρα,N,"ἄγκυρα, ας, ἡ",ἄγκυρα,"ἄγκυρα, ας, ἡ","ἄγκυρα, ας, ἡ",ἄγκυρα,45,46,N:F,an anchor,n-1a,,,Noun
ἄγναφος,A,"ἄγναφος, ον",ἄγναφος,"ἄγναφος, ον","ἄγναφος, ον",ἄγναφος,46,47,A,"unshrunken, new",a-3a,,,Adjective
ἁγνεία,N,"ἁγνεία, ας, ἡ",ἁγνεία,"ἁγνεία, ας, ἡ","ἁγνεία, ας, ἡ",ἁγνεία,47,48,N:F,"purity, chastity",n-1a,,,Noun
ἁγνίζω,V,,ἁγνίζω,ἁγνίζω,ἁγνίζω,ἁγνίζω,48,49,V,"I cleanse, purify",v-2a(1),,,Verb
ἁγνισμός,N,"ἁγνισμός, οῦ, ὁ",ἁγνισμός,"ἁγνισμός, οῦ, ὁ","ἁγνισμός, οῦ, ὁ",ἁγνισμός,49,50,N:M,purification,n-2a,,,Noun
ἀγνοέω,V,,ἀγνοέω,ἀγνοέω,ἀγνοέω,ἀγνοέω,40,51,V,"I do not know, am ignorant of",v-1d(2a),,,Verb
ἀγνόημα,N,"ἀγνόημα, ατος, τό",ἀγνόημα,"ἀγνόημα, ατος, τό","ἀγνόημα, ατος, τό",ἀγνόημα,51,52,N:N,an offence committed through ignorance,n-3c(4),,,Noun
ἄγνοια,N,"ἄγνοια, ας, ἡ",ἄγνοια,"ἄγνοια, ας, ἡ","ἄγνοια, ας, ἡ",ἄγνοια,52,53,N:F,ignorance,n-1a,,,Noun
ἁγνός,A,"ἁγνός, ή, όν",ἁγνός,"ἁγνός, ή, όν","ἁγνός, ή, όν",ἁγνός,53,54,A,"pure, chaste",a-1a(2a),,,Adjective
ἁγνότης,N,"ἁγνότης, ητος, ἡ",ἁγνότης,"ἁγνότης, ητος, ἡ","ἁγνότης, τητος, ἡ",ἁγνότης,54,55,N:F,"purity, chastity",n-3c(1),,,Noun
ἁγνῶς,D,,ἁγνῶς,ἁγνῶς,ἁγνῶς,ἁγνῶς,55,56,ADV,"purely, sincerely",adverb,,,Adverb
ἀγνωσία,N,"ἀγνωσία, ας, ἡ",ἀγνωσία,"ἀγνωσία, ας, ἡ","ἀγνωσία, ας, ἡ",ἀγνωσία,56,57,N:F,ignorance,n-1a,,,Noun
ἄγνωστος,A,"ἄγνωστος, ον",ἄγνωστος,"ἄγνωστος, ον","ἄγνωστος, ον",ἄγνωστος,57,58,A,unknown,a-3a,,,Adjective
ἀγορά,N,"ἀγορά, ᾶς, ἡ",ἀγορά,"ἀγορά, ᾶς, ἡ","ἀγορά, ᾶς, ἡ",ἀγορά,58,59,N:F,market-place,n-1a,,,Noun
ἀγοράζω,V,,ἀγοράζω,ἀγοράζω,ἀγοράζω,ἀγοράζω,59,60,V,I buy,v-2a(1),,,Verb
ἀγοραῖος,A,"ἀγοραῖος, ον",ἀγοραῖος,"ἀγοραῖος, ον","ἀγοραῖος, ον",ἀγοραῖος,60,61,A,a lounger in the market-place,a-3a,,,Adjective
ἄγρα,N,"ἄγρα, ας, ἡ",ἄγρα,"ἄγρα, ας, ἡ","ἄγρα, ας, ἡ",ἄγρα,61,62,N:F,"catching, a catch",n-1a,,,Noun
ἀγράμματος,A,"ἀγράμματος, ον",ἀγράμματος,"ἀγράμματος, ον","ἀγράμματος, ον",ἀγράμματος,62,63,A,uneducated,a-3a,,,Adjective
ἀγραυλέω,V,,ἀγραυλέω,ἀγραυλέω,ἀγραυλέω,ἀγραυλέω,63,64,V,I spend the night in the open,cv-1d(2),,,Verb
ἀγρεύω,V,,ἀγρεύω,ἀγρεύω,ἀγρεύω,ἀγρεύω,64,65,V,"I catch, capture",v-1a(6),,,Verb
ἀγριέλαιος,N,"ἀγριέλαιος, ου, ἡ",ἀγριέλαιος,"ἀγριέλαιος, ου, ἡ","ἀγριέλαιος, ου, ἡ",ἀγριέλαιος,65,66,N:F,a wild olive tree,n-2b,,,Noun
ἄγριος,A,"ἄγριος, α, ον",ἄγριος,"ἄγριος, α, ον","ἄγριος, ία, ιον",ἄγριος,66,67,A,"wild, fierce",a-1a(1),,,Adjective
Ἀγρίππας,N,"Ἀγρίππας, α, ὁ",Ἀγρίππας,"Ἀγρίππας, α, ὁ","Ἀγρίππας, α, ὁ",Ἀγρίππας,67,68,N:M,Agrippa,n-1e,,,Noun
ἀγρός,N,"ἀγρός, οῦ, ὁ",ἀγρός,"ἀγρός, οῦ, ὁ","ἀγρός, οῦ, ὁ",ἀγρός,68,69,N:M,"a field, the country",n-2a,,,Noun
ἀγρυπνέω,V,,ἀγρυπνέω,ἀγρυπνέω,ἀγρυπνέω,ἀγρυπνέω,69,70,V,I am awake,cv-1d(2),,,Verb
ἀγρυπνία,N,"ἀγρυπνία, ας, ἡ",ἀγρυπνία,"ἀγρυπνία, ας, ἡ","ἀγρυπνία, ας, ἡ",ἀγρυπνία,70,71,N:F,"sleeplessness, watching",n-1a,,,Noun
ἄγω,V,,ἄγω,ἄγω,ἄγω,ἄγω,33,72,V,I lead,v-1b(2),*ἀγ 2Aor P3 P1b,"ἄξω, ἤγαγον (2nd, Aug+Redup), -, ἤγμαι, ἤχθην",Verb
ἀγωγή,N,"ἀγωγή, ῆς, ἡ",ἀγωγή,"ἀγωγή, ῆς, ἡ","ἀγωγή, ῆς, ἡ",ἀγωγή,72,73,N:F,conduct,n-1b,,,Noun
ἀγών,N,"ἀγών, ῶνος, ὁ",ἀγών,"ἀγών, ἀγῶνος, ὁ","ἀγών, ῶνος, ὁ",ἀγών,73,74,N:M,a contest,n-3f(1a),,,Noun
ἀγωνία,N,"ἀγωνία, ας, ἡ",ἀγωνία,"ἀγωνία, ας, ἡ","ἀγωνία, ας, ἡ",ἀγωνία,74,75,N:F,"contest, agony",n-1a,,,Noun
ἀγωνίζομαι,V,,ἀγωνίζομαι,ἀγωνίζομαι,ἀγωνίζομαι,ἀγωνίζομαι,75,76,V,"I strive, contend",v-2a(1),,,Verb
Ἀδάμ,N,"Ἀδάμ, ὁ",Ἀδάμ,"Ἀδάμ, ὁ","Ἀδάμ, ὁ",Ἀδάμ,76,77,N-PRI,Adam,n-3g(2),,,Noun
ἀδάπανος,A,"ἀδάπανος, ον",ἀδάπανος,"ἀδάπανος, ον","ἀδάπανος, ον",ἀδάπανος,77,78,A,"without expense, free",a-3a,,,Adjective
Ἀδδί,N,"Ἀδδί, ὁ",Ἀδδί,"Ἀδδί, ὁ","Ἀδδί, ὁ",Ἀδδί,78,79,N-PRI,Addi,n-3g(2),,,Noun
ἀδελφή,N,"ἀδελφή, ῆς, ἡ",ἀδελφή,"ἀδελφή, ῆς, ἡ","ἀδελφή, ῆς, ἡ",ἀδελφή,79,80,N:F,a sister,n-1b,,,Noun
ἀδελφός,N,"ἀδελφός, οῦ, ὁ",ἀδελφός,"ἀδελφός, οῦ, ὁ","ἀδελφός, οῦ, ὁ",ἀδελφός,80,81,N:M,a brother,n-2a,,,Noun
ἀδελφότης,N,"ἀδελφότης, ητος, ἡ",ἀδελφότης,"ἀδελφότης, ητος, ἡ","ἀδελφότης, τητος, ἡ",ἀδελφότης,81,82,N:F,brotherhood,n-3c(1),,,Noun
ἄδηλος,A,"ἄδηλος, ον",ἄδηλος,"ἄδηλος, ον","ἄδηλος, ον",ἄδηλος,82,83,A,"unseen, not obvious",a-3a,,,Adjective
ἀδηλότης,N,"ἀδηλότης, ητος, ἡ",ἀδηλότης,"ἀδηλότης, ητος, ἡ","ἀδηλότης, τητος, ἡ",ἀδηλότης,83,84,N:F,uncertainty,n-3c(1),,,Noun
ἀδήλως,D,,ἀδήλως,ἀδήλως,ἀδήλως,ἀδήλως,84,85,ADV,"out of sight, uncertainly",adverb,,,Adverb
ἀδημονέω,V,,ἀδημονέω,ἀδημονέω,ἀδημονέω,ἀδημονέω,85,86,V,"I am troubled, distressed",cv-1d(2),,,Verb
ᾅδης,N,"ᾅδης, ου, ὁ",ᾅδης,"ᾅδης, ου, ὁ","ᾍδης, ου, ὁ",ᾅδης,86,87,N:M,Hades,n-1f,,,Noun
ἀδιάκριτος,A,"ἀδιάκριτος, ον",ἀδιάκριτος,"ἀδιάκριτος, ον","ἀδιάκριτος, ον",ἀδιάκριτος,87,88,A,unambiguous,a-3a,,,Adjective
ἀδιάλειπτος,A,"ἀδιάλειπτος, ον",ἀδιάλειπτος,"ἀδιάλειπτος, ον","ἀδιάλειπτος, ον",ἀδιάλειπτος,88,89,A,"unceasing, unremitting",a-3a,,,Adjective
ἀδιαλείπτως,D,,ἀδιαλείπτως,ἀδιαλείπτως,ἀδιαλείπτως,ἀδιαλείπτως,89,90,ADV,unceasingly,adverb,,,Adverb
ἀδικέω,V,,ἀδικέω,ἀδικέω,ἀδικέω,ἀδικέω,91,92,V,I act unjustly towards,v-1d(2a),,,Verb
ἀδίκημα,N,"ἀδίκημα, ατος, τό",ἀδίκημα,"ἀδίκημα, ατος, τό","ἀδίκημα, ατος, τό",ἀδίκημα,92,93,N:N,"a crime, misdeed",n-3c(4),,,Noun
ἀδικία,N,"ἀδικία, ας, ἡ",ἀδικία,"ἀδικία, ας, ἡ","ἀδικία, ας, ἡ",ἀδικία,93,94,N:F,unrighteousness,n-1a,,,Noun
ἄδικος,A,"ἄδικος, ον",ἄδικος,"ἄδικος, ον","ἄδικος, ον",ἄδικος,94,96,A,"unjust, unrighteous",a-3a,,,Adjective
ἀδίκως,D,,ἀδίκως,ἀδίκως,ἀδίκως,ἀδίκως,95,97,ADV,unjustly,adverb,,,Adverb
Ἀδμίν,N,"Ἀδμίν, ὁ",Ἀδμίν,"Ἀδμίν, ὁ",,Ἀδμίν,,98,,,n-3g(2),,,Noun
ἀδόκιμος,A,"ἀδόκιμος, ον",ἀδόκιμος,"ἀδόκιμος, ον","ἀδόκιμος, ον",ἀδόκιμος,96,99,A,failing to pass the test,a-3a,,,Adjective
ἄδολος,A,"ἄδολος, ον",ἄδολος,"ἄδολος, ον","ἄδολος, ον",ἄδολος,97,100,A,pure,a-3a,,,Adjective
Ἀδραμυττηνός,A,"Ἀδραμυττηνός, ή, όν",Ἀδραμυττηνός,"Ἀδραμυττηνός, ή, όν","Ἀδραμυττηνός, ή, όν",Ἀδραμυττηνός,98,101,A,belonging to Adramyttium,a-1a(2a),,,Adjective
Ἀδρίας,N,"Ἀδρίας, ου, ὁ",Ἀδρίας,"Ἀδρίας, ου, ὁ","Ἀδρίας, ου, ὁ",Ἀδρίας,99,102,N:M,the Adriatic Sea,n-1d,,,Noun
ἁδρότης,N,"ἁδρότης, ητος, ἡ",ἁδρότης,"ἁδρότης, ητος, ἡ","ἁδρότης, τητος, ἡ",ἁδρότης,100,103,N:F,lavishness,n-3c(1),,,Noun
ἀδυνατέω,V,,ἀδυνατέω,ἀδυνατέω,ἀδυνατέω,ἀδυνατέω,101,104,V,to be impossible,cv-1d(2a),,,Verb
ἀδύνατος,A,"ἀδύνατος, ον",ἀδύνατος,"ἀδύνατος, ον","ἀδύνατος, ον",ἀδύνατος,102,105,A,"incapable, impossible",a-3a,,,Adjective
ᾄδω,V,,ᾄδω,ᾄδω,ᾄδω,ᾄδω,103,106,V,I sing,v-1b(3),,,Verb
ἀεί,D,,ἀεί,ἀεί,ἀεί,ἀεί,104,107,ADV,always,adverb,,,Adverb
ἀετός,N,"ἀετός, οῦ, ὁ",ἀετός,"ἀετός, οῦ, ὁ","ἀετός, οῦ, ὁ",ἀετός,105,108,N:M,"an eagle, bird of prey",n-2a,,,Noun
ἄζυμος,A,"ἄζυμος, ον",ἄζυμος,"ἄζυμος, ον","ἄζυμος, ον",ἄζυμος,106,109,A,"unleavened, the paschal feast, uncorrupted",a-3a,,,Adjective
Ἀζώρ,N,"Ἀζώρ, ὁ",Ἀζώρ,"Ἀζώρ, ὁ","Ἀζώρ, ὁ",Ἀζώρ,107,110,N-PRI,Azor,n-3g(2),,,Noun
Ἄζωτος,N,"Ἄζωτος, ου, ἡ",Ἄζωτος,"Ἄζωτος, ου, ἡ","Ἄζωτος, ου, ἡ",Ἄζωτος,108,111,N:F,"Azotus, Ashdod",n-2b,,,Noun
ἀήρ,N,"ἀήρ, έρος, ὁ",ἀήρ,"ἀήρ, ἀέρος, ὁ","ἀήρ, ἀέρος, ὁ",ἀήρ,109,113,N:M,air,n-3f(2b),,,Noun
ἀθανασία,N,"ἀθανασία, ας, ἡ",ἀθανασία,"ἀθανασία, ας, ἡ","ἀθανασία, ας, ἡ",ἀθανασία,110,114,N:F,immortality,n-1a,,,Noun
ἀθέμιτος,A,"ἀθέμιτος, ον",ἀθέμιτος,"ἀθέμιτος, ον","ἀθέμιτος, ον",ἀθέμιτος,111,116,A,"illegal, unlawful",a-3a,,,Adjective
ἄθεος,A,"ἄθεος, ον",ἄθεος,"ἄθεος, ον","ἄθεος, ον",ἄθεος,112,117,A,godless,a-3a,,,Adjective
ἄθεσμος,A,"ἄθεσμος, ον",ἄθεσμος,"ἄθεσμος, ον","ἄθεσμος, ον",ἄθεσμος,75,118,A,lawless,a-3a,,,Adjective
ἀθετέω,V,,ἀθετέω,ἀθετέω,ἀθετέω,ἀθετέω,114,119,V,I annul,v-1d(2a),,,Verb
ἀθέτησις,N,"ἀθέτησις, εως, ἡ",ἀθέτησις,"ἀθέτησις, εως, ἡ","ἀθέτησις, εως, ἡ",ἀθέτησις,115,120,N:F,"nullification, abrogation",n-3e(5b),,,Noun
Ἀθῆναι,N,"Ἀθῆναι, ῶν, αἱ",Ἀθῆναι,"Ἀθῆναι, ῶν, αἱ","Ἀθῆναι, ῶν, αἱ",Ἀθῆναι,116,121,N:F,Athens,n-1h,,,Noun
Ἀθηναῖος,A,"Ἀθηναῖος, α, ον",Ἀθηναῖος,"Ἀθηναῖος, α, ον","Ἀθηναῖος, α, ον",Ἀθηναῖος,117,122,A,Athenian,a-1a(1),,,Adjective
ἀθλέω,V,,ἀθλέω,ἀθλέω,ἀθλέω,ἀθλέω,118,123,V,I compete,v-1d(2a),,,Verb
ἄθλησις,N,"ἄθλησις, εως, ἡ",ἄθλησις,"ἄθλησις, εως, ἡ","ἄθλησις, εως, ἡ",ἄθλησις,119,124,N:F,a contest,n-3e(5b),,,Noun
ἀθροίζω,V,,ἀθροίζω,ἀθροίζω,,ἀθροίζω,,125,,,v-2a(1),,,Verb
ἀθυμέω,V,,ἀθυμέω,ἀθυμέω,ἀθυμέω,ἀθυμέω,120,126,V,I lose heart,cv-1d(2a),,,Verb
ἀθῷος,A,"ἀθῷος, ον",ἀθῷος,"ἀθῷος, ον","ἀθῷος, ον",ἀθῷος,121,127,A,guiltless,a-3a,,,Adjective
αἴγειος,A,"αἴγειος, α, ον",αἴγειος,"αἴγειος, α, ον","αἴγειος, α, ον",αἴγειος,122,128,A,of a goat,a-1a(1),,,Adjective
αἰγιαλός,N,"αἰγιαλός, οῦ, ὁ",αἰγιαλός,"αἰγιαλός, οῦ, ὁ","αἰγιαλός, οῦ, ὁ",αἰγιαλός,123,129,N:M,"sea-coast, beach",n-2a,,,Noun
Αἰγύπτιος,A,"Αἰγύπτιος, α, ον",Αἰγύπτιος,"Αἰγύπτιος, α, ον","Αἰγύπτιος, α, ον",Αἰγύπτιος,124,130,A,Egyptian,a-1a(1),,,Adjective
Αἴγυπτος,N,"Αἴγυπτος, ου, ἡ",Αἴγυπτος,"Αἴγυπτος, ου, ἡ","Αἴγυπτος, ου, ἡ",Αἴγυπτος,125,131,N:F,Egypt,n-2b,,,Noun
ἀΐδιος,A,"ἀΐδιος, ον",ἀΐδιος,"ἀΐδιος, ον","ἀΐδιος, ον",ἀΐδιος,126,132,A,eternal,a-3a,,,Adjective
αἰδώς,N,"αἰδώς, οῦς, ἡ",αἰδώς,"αἰδώς, οῦς, ἡ","αἰδώς, οῦς, ἡ",αἰδώς,127,133,N:F,"shame, modesty",n-3d(3),,,Noun
Αἰθίοψ,N,"Αἰθίοψ, οπος, ὁ",Αἰθίοψ,"Αἰθίοψ, οπος, ὁ","Αἰθίοψ, οπος, ὁ",Αἰθίοψ,128,134,N:M,an Ethiopian,n-3a(1),,,Noun
αἷμα,N,"αἷμα, ατος, τό",αἷμα,"αἷμα, ατος, τό","αἷμα, ατος, τό",αἷμα,129,135,N:N,blood,n-3c(4),,,Noun
αἱματεκχυσία,N,"αἱματεκχυσία, ας, ἡ",αἱματεκχυσία,"αἱματεκχυσία, ας, ἡ","αἱματεκχυσία, ας, ἡ",αἱματεκχυσία,130,136,N:F,a shedding or pouring forth of blood,n-1a,,,Noun
αἱμορροέω,V,,αἱμορροέω,αἱμορροέω,αἱμορροέω,αἱμορροέω,131,137,V,I suffer from a continual flow (oozing) of blood,cv-1d(2,,,Verb
Αἰνέας,N,"Αἰνέας, ου, ὁ",Αἰνέας,"Αἰνέας, ου, ὁ","Αἰνέας, α, ὁ",Αἰνέας,132,138,N:M,Aeneas,n-1d,,,Noun
αἴνεσις,N,"αἴνεσις, εως, ἡ",αἴνεσις,"αἴνεσις, εως, ἡ","αἴνεσις, εως, ἡ",αἴνεσις,133,139,N:F,praise,n-3e(5b),,,Noun
αἰνέω,V,,αἰνέω,αἰνέω,αἰνέω,αἰνέω,134,140,V,I praise,v-1d(2b),,,Verb
αἴνιγμα,N,"αἴνιγμα, ατος, τό",αἴνιγμα,"αἴνιγμα, ατος, τό","αἴνιγμα, ατος, τό",αἴνιγμα,135,141,N:N,"a riddle, an enigma",n-3c(4),,,Noun
αἶνος,N,"αἶνος, ου, ὁ",αἶνος,"αἶνος, ου, ὁ","αἶνος, ου, ὁ",αὶνος,136,142,N:M,praise,n-2a,,,Noun
Αἰνών,N,"Αἰνών, ἡ",Αἰνών,"Αἰνών, ἡ","Αἰνών, ἡ",Αἰνών,137,143,N-PRI,Aenon,n-3g(2),,,Noun
αἱρέομαι,V,,αἱρέω,αἱρέω,αἱρέω,αἱρέω,138,145,V,"I choose, prefer",v-1d(2a),,,Verb
αἵρεσις,N,"αἵρεσις, εως, ἡ",αἵρεσις,"αἵρεσις, εως, ἡ","αἵρεσις, εως, ἡ",αἵρεσις,139,146,N:F,"a self-chosen opinion, a sect",n-3e(5b),,,Noun
